#B	dB	H	dH
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	822
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	822
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
-0.513	-0.0154	2.28e+03	820
-0.511	-0.0153	2.25e+03	815
-0.508	-0.0152	2.23e+03	810
-0.504	-0.0151	2.2e+03	804
-0.498	-0.015	2.16e+03	796
-0.493	-0.0148	2.12e+03	787
-0.487	-0.0146	2.08e+03	778
-0.481	-0.0144	2.04e+03	768
-0.474	-0.0142	2e+03	757
-0.466	-0.014	1.95e+03	744
-0.458	-0.0137	1.9e+03	730
-0.449	-0.0135	1.85e+03	717
-0.44	-0.0132	1.79e+03	702
-0.43	-0.0129	1.74e+03	687
-0.42	-0.0126	1.69e+03	671
-0.411	-0.0123	1.64e+03	656
-0.401	-0.012	1.58e+03	640
-0.39	-0.0117	1.53e+03	622
-0.38	-0.0114	1.47e+03	606
-0.368	-0.0111	1.42e+03	588
-0.355	-0.0107	1.36e+03	568
-0.342	-0.0102	1.29e+03	545
-0.328	-0.00984	1.23e+03	524
-0.312	-0.00937	1.15e+03	499
-0.295	-0.00886	1.08e+03	472
-0.281	-0.00842	1.01e+03	448
-0.265	-0.00795	950	423
-0.249	-0.00747	884	398
-0.234	-0.007	821	373
-0.218	-0.00654	759	348
-0.202	-0.00606	696	323
-0.186	-0.00558	635	297
-0.17	-0.0051	575	272
-0.154	-0.00462	515	246
-0.139	-0.00417	461	222
-0.127	-0.00381	419	203
-0.116	-0.00348	380	185
-0.108	-0.00324	352	173
-0.101	-0.00301	327	161
-0.094	-0.00282	305	150
-0.089	-0.00267	288	142
-0.084	-0.00252	271	134
-0.08	-0.0024	258	128
-0.0765	-0.00229	246	122
-0.0735	-0.0022	236	118
-0.071	-0.00213	228	114
-0.069	-0.00207	221	110
-0.067	-0.00201	214	107
-0.0655	-0.00197	209	105
-0.064	-0.00192	205	102
-0.0625	-0.00187	200	100
-0.0615	-0.00184	196	98.4
-0.0605	-0.00181	193	96.8
-0.06	-0.0018	192	96
-0.059	-0.00177	188	94.4
-0.058	-0.00174	185	92.8
-0.058	-0.00174	185	92.8
-0.057	-0.00171	182	91.2
-0.057	-0.00171	182	91.2
-0.0565	-0.00169	180	90.4
-0.056	-0.00168	178	89.6
-0.056	-0.00168	179	89.6
-0.0555	-0.00167	177	88.8
-0.0555	-0.00167	177	88.8
-0.055	-0.00165	175	88
-0.055	-0.00165	175	88
-0.055	-0.00165	175	88
-0.0545	-0.00163	174	87.2
-0.0545	-0.00163	174	87.2
-0.0545	-0.00163	174	87.2
-0.0545	-0.00163	174	87.2
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.0535	-0.0016	170	85.6
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.054	-0.00162	172	86.4
-0.0535	-0.0016	170	85.6
-0.0515	-0.00155	163	82.5
-0.0485	-0.00145	153	77.7
-0.0445	-0.00133	140	71.3
-0.039	-0.00117	122	62.6
-0.0325	-0.000975	102	52.3
-0.025	-0.00075	77.6	40.4
-0.0155	-0.000465	47.8	25.6
-0.006	-0.00018	18.4	11.5
0.004	0.00012	-12.2	8.98
0.0145	0.000435	-43.8	24
0.025	0.00075	-74.9	40.4
0.036	0.00108	-107	57.8
0.048	0.00144	-141	76.9
0.0605	0.00181	-177	96.8
0.073	0.00219	-211	117
0.086	0.00258	-246	137
0.099	0.00297	-281	158
0.113	0.00337	-316	180
0.125	0.00375	-347	200
0.138	0.00414	-379	220
0.151	0.00454	-412	242
0.164	0.00492	-441	262
0.177	0.00532	-473	283
0.19	0.0057	-500	303
0.205	0.00613	-531	327
0.218	0.00654	-561	348
0.231	0.00693	-587	369
0.244	0.00732	-612	390
0.257	0.00771	-637	410
0.27	0.0081	-661	431
0.283	0.00849	-685	452
0.296	0.00888	-707	473
0.309	0.00927	-729	493
0.322	0.00966	-749	514
0.336	0.0101	-770	536
0.349	0.0105	-788	556
0.361	0.0108	-806	577
0.375	0.0112	-825	599
0.388	0.0116	-840	620
0.401	0.012	-857	640
0.413	0.0124	-868	659
0.424	0.0127	-880	678
0.436	0.0131	-892	697
0.448	0.0134	-903	715
0.459	0.0138	-912	733
0.47	0.0141	-921	750
0.48	0.0144	-927	766
0.489	0.0147	-941	781
0.493	0.0148	-951	788
0.496	0.0149	-956	793
0.499	0.015	-961	797
0.501	0.015	-964	799
0.502	0.015	-965	801
0.503	0.0151	-968	802
0.503	0.0151	-968	803
0.504	0.0151	-970	805
0.504	0.0151	-970	805
0.505	0.0151	-971	806
0.505	0.0152	-971	806
0.505	0.0152	-973	806
0.505	0.0152	-972	806
0.505	0.0152	-973	806
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-974	807
0.506	0.0152	-973	807
0.506	0.0152	-974	808
0.506	0.0152	-973	807
0.506	0.0152	-974	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-972	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-975	808
0.506	0.0152	-975	808
0.506	0.0152	-974	807
0.506	0.0152	-975	808
0.506	0.0152	-974	807
0.506	0.0152	-974	808
0.506	0.0152	-974	808
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-974	807
0.506	0.0152	-974	807
0.506	0.0152	-974	807
0.506	0.0152	-974	807
0.506	0.0152	-973	807
0.506	0.0152	-974	808
0.506	0.0152	-974	807
0.506	0.0152	-975	808
0.506	0.0152	-975	808
0.506	0.0152	-974	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-973	807
0.506	0.0152	-975	808
0.506	0.0152	-974	808
