#B	dB	H	dH
-0.893	-0.0268	4.94e+03	1.43e+03
-0.888	-0.0266	4.89e+03	1.42e+03
-0.882	-0.0265	4.84e+03	1.41e+03
-0.878	-0.0263	4.8e+03	1.4e+03
-0.873	-0.0262	4.75e+03	1.39e+03
-0.869	-0.0261	4.71e+03	1.39e+03
-0.866	-0.026	4.68e+03	1.38e+03
-0.862	-0.0258	4.64e+03	1.38e+03
-0.858	-0.0257	4.61e+03	1.37e+03
-0.854	-0.0256	4.57e+03	1.36e+03
-0.851	-0.0255	4.54e+03	1.36e+03
-0.848	-0.0254	4.51e+03	1.35e+03
-0.845	-0.0253	4.48e+03	1.35e+03
-0.841	-0.0252	4.45e+03	1.34e+03
-0.837	-0.0251	4.41e+03	1.34e+03
-0.832	-0.025	4.37e+03	1.33e+03
-0.828	-0.0248	4.33e+03	1.32e+03
-0.823	-0.0247	4.29e+03	1.31e+03
-0.818	-0.0245	4.25e+03	1.31e+03
-0.814	-0.0244	4.21e+03	1.3e+03
-0.81	-0.0243	4.18e+03	1.29e+03
-0.805	-0.0242	4.14e+03	1.29e+03
-0.801	-0.024	4.1e+03	1.28e+03
-0.796	-0.0239	4.06e+03	1.27e+03
-0.791	-0.0237	4.02e+03	1.26e+03
-0.786	-0.0236	3.97e+03	1.25e+03
-0.779	-0.0234	3.92e+03	1.24e+03
-0.772	-0.0232	3.87e+03	1.23e+03
-0.766	-0.023	3.81e+03	1.22e+03
-0.759	-0.0228	3.76e+03	1.21e+03
-0.753	-0.0226	3.71e+03	1.2e+03
-0.745	-0.0223	3.65e+03	1.19e+03
-0.738	-0.0221	3.59e+03	1.18e+03
-0.73	-0.0219	3.53e+03	1.16e+03
-0.721	-0.0216	3.47e+03	1.15e+03
-0.713	-0.0214	3.41e+03	1.14e+03
-0.705	-0.0211	3.35e+03	1.12e+03
-0.696	-0.0209	3.28e+03	1.11e+03
-0.687	-0.0206	3.22e+03	1.1e+03
-0.678	-0.0203	3.16e+03	1.08e+03
-0.668	-0.0201	3.09e+03	1.07e+03
-0.659	-0.0198	3.03e+03	1.05e+03
-0.649	-0.0195	2.96e+03	1.04e+03
-0.64	-0.0192	2.9e+03	1.02e+03
-0.63	-0.0189	2.84e+03	1.01e+03
-0.62	-0.0186	2.77e+03	990
-0.61	-0.0183	2.71e+03	973
-0.598	-0.0179	2.63e+03	955
-0.587	-0.0176	2.57e+03	937
-0.577	-0.0173	2.5e+03	921
-0.566	-0.017	2.43e+03	903
-0.554	-0.0166	2.37e+03	885
-0.544	-0.0163	2.31e+03	869
-0.535	-0.0161	2.26e+03	854
-0.525	-0.0158	2.21e+03	839
-0.517	-0.0155	2.16e+03	826
-0.51	-0.0153	2.12e+03	814
-0.502	-0.015	2.07e+03	801
-0.494	-0.0148	2.03e+03	789
-0.485	-0.0146	1.99e+03	775
-0.478	-0.0143	1.94e+03	762
-0.468	-0.014	1.89e+03	747
-0.459	-0.0138	1.84e+03	733
-0.449	-0.0135	1.79e+03	717
-0.44	-0.0132	1.74e+03	702
-0.429	-0.0129	1.69e+03	685
-0.418	-0.0125	1.63e+03	667
-0.407	-0.0122	1.58e+03	650
-0.396	-0.0119	1.52e+03	632
-0.384	-0.0115	1.47e+03	613
-0.371	-0.0111	1.41e+03	593
-0.359	-0.0108	1.35e+03	574
-0.347	-0.0104	1.3e+03	554
-0.335	-0.01	1.24e+03	535
-0.323	-0.00969	1.19e+03	516
-0.31	-0.0093	1.13e+03	495
-0.296	-0.00888	1.07e+03	473
-0.282	-0.00846	1.01e+03	450
-0.269	-0.00805	955	429
-0.253	-0.00759	893	404
-0.239	-0.00715	834	381
-0.224	-0.00671	774	357
-0.209	-0.00627	718	334
-0.196	-0.00587	666	312
-0.182	-0.00546	615	291
-0.17	-0.0051	571	272
-0.159	-0.00475	529	253
-0.147	-0.00441	487	235
-0.136	-0.00408	448	217
-0.127	-0.00379	414	202
-0.118	-0.00354	385	189
-0.111	-0.00333	360	177
-0.104	-0.00313	338	167
-0.0995	-0.00299	322	159
-0.095	-0.00285	306	152
-0.091	-0.00273	293	146
-0.088	-0.00264	283	141
-0.0855	-0.00257	274	137
-0.083	-0.00249	266	133
-0.0805	-0.00242	258	129
-0.079	-0.00237	253	126
-0.0775	-0.00232	248	124
-0.076	-0.00228	243	122
-0.0745	-0.00224	238	119
-0.0735	-0.0022	235	118
-0.0725	-0.00217	231	116
-0.0715	-0.00215	228	114
-0.071	-0.00213	227	114
-0.07	-0.0021	223	112
-0.0695	-0.00209	222	111
-0.069	-0.00207	220	110
-0.0685	-0.00205	218	110
-0.0685	-0.00205	218	110
-0.068	-0.00204	217	109
-0.0675	-0.00202	215	108
-0.0675	-0.00202	215	108
-0.067	-0.00201	213	107
-0.067	-0.00201	213	107
-0.067	-0.00201	213	107
-0.0665	-0.002	212	106
-0.0665	-0.002	212	106
-0.0665	-0.002	212	106
-0.0665	-0.002	212	106
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0645	-0.00194	205	103
-0.0625	-0.00187	198	100
-0.058	-0.00174	183	92.9
-0.052	-0.00156	163	83.4
-0.045	-0.00135	140	72.3
-0.0365	-0.00109	113	58.8
-0.027	-0.00081	83.1	43.8
-0.0165	-0.000495	50.4	27.5
-0.0055	-0.000165	16.7	11.8
0.0045	0.000135	-13.5	10.6
0.0145	0.000435	-43.3	24.4
0.025	0.00075	-74.1	40.7
0.0355	0.00106	-104	57.2
0.0465	0.00139	-136	74.6
0.0585	0.00176	-169	93.7
0.0705	0.00212	-202	113
0.083	0.00249	-235	133
0.0945	0.00283	-266	151
0.107	0.00321	-298	171
0.12	0.00359	-330	191
0.132	0.00394	-359	210
0.145	0.00436	-392	232
0.159	0.00477	-424	254
0.174	0.00521	-457	277
0.189	0.00565	-490	301
0.203	0.00608	-519	323
0.216	0.00649	-549	346
0.23	0.00688	-576	367
0.242	0.00726	-600	386
0.254	0.0076	-623	405
0.265	0.00795	-644	423
0.277	0.00831	-666	442
0.289	0.00867	-687	461
0.302	0.00906	-709	482
0.315	0.00943	-729	502
0.326	0.00978	-747	521
0.338	0.0101	-765	540
0.35	0.0105	-783	558
0.36	0.0108	-798	576
0.371	0.0111	-813	593
0.383	0.0115	-827	611
0.393	0.0118	-841	628
0.404	0.0121	-854	644
0.414	0.0124	-866	660
0.422	0.0127	-876	675
0.432	0.013	-887	690
0.441	0.0132	-895	703
0.449	0.0135	-903	717
0.457	0.0137	-910	730
0.465	0.014	-918	742
0.473	0.0142	-925	755
0.481	0.0144	-930	768
0.489	0.0147	-936	782
0.497	0.0149	-940	794
0.506	0.0152	-945	808
0.514	0.0154	-949	822
0.522	0.0157	-953	834
0.53	0.0159	-956	847
0.539	0.0162	-959	861
0.547	0.0164	-961	873
0.556	0.0167	-962	888
0.565	0.0169	-963	902
0.574	0.0172	-963	916
0.583	0.0175	-962	931
0.592	0.0178	-961	945
0.602	0.018	-959	960
0.611	0.0183	-956	976
0.621	0.0186	-952	992
0.631	0.0189	-949	1.01e+03
0.641	0.0192	-943	1.02e+03
0.651	0.0195	-936	1.04e+03
0.662	0.0199	-927	1.06e+03
0.673	0.0202	-916	1.08e+03
0.685	0.0206	-907	1.09e+03
0.697	0.0209	-895	1.11e+03
0.709	0.0213	-882	1.13e+03
0.719	0.0216	-871	1.15e+03
0.73	0.0219	-855	1.17e+03
0.741	0.0222	-840	1.18e+03
0.752	0.0225	-824	1.2e+03
0.762	0.0229	-811	1.22e+03
0.77	0.0231	-798	1.23e+03
0.779	0.0234	-787	1.24e+03
0.785	0.0236	-779	1.25e+03
0.79	0.0237	-774	1.26e+03
0.795	0.0238	-772	1.27e+03
0.798	0.0239	-769	1.27e+03
0.8	0.024	-766	1.28e+03
0.802	0.0241	-765	1.28e+03
0.804	0.0241	-762	1.28e+03
0.806	0.0242	-755	1.29e+03
0.809	0.0243	-746	1.29e+03
0.814	0.0244	-729	1.3e+03
0.82	0.0246	-709	1.31e+03
0.826	0.0248	-689	1.32e+03
0.833	0.025	-667	1.33e+03
0.841	0.0252	-646	1.34e+03
0.848	0.0254	-627	1.35e+03
0.854	0.0256	-611	1.36e+03
0.86	0.0258	-596	1.37e+03
0.866	0.026	-584	1.38e+03
0.87	0.0261	-571	1.39e+03
0.874	0.0262	-555	1.4e+03
0.879	0.0264	-538	1.4e+03
0.884	0.0265	-519	1.41e+03
0.889	0.0267	-502	1.42e+03
0.894	0.0268	-480	1.43e+03
0.899	0.027	-461	1.44e+03
0.904	0.0271	-442	1.44e+03
0.909	0.0273	-419	1.45e+03
0.915	0.0274	-395	1.46e+03
0.92	0.0276	-376	1.47e+03
0.925	0.0278	-354	1.48e+03
0.929	0.0279	-335	1.48e+03
0.934	0.028	-311	1.49e+03
0.939	0.0282	-282	1.5e+03
0.944	0.0283	-258	1.51e+03
0.95	0.0285	-234	1.52e+03
0.953	0.0286	-215	1.52e+03
0.957	0.0287	-195	1.53e+03
0.961	0.0288	-173	1.53e+03
0.965	0.0289	-149	1.54e+03
0.969	0.0291	-125	1.55e+03
0.973	0.0292	-102	1.55e+03
0.976	0.0293	-99.8	1.56e+03
0.979	0.0294	-100	1.56e+03
0.982	0.0295	-100	1.57e+03
0.983	0.0295	-100	1.57e+03
0.984	0.0295	-101	1.57e+03
0.983	0.0295	-100	1.57e+03
0.981	0.0294	-100	1.57e+03
0.979	0.0294	-126	1.56e+03
0.976	0.0293	-158	1.56e+03
0.973	0.0292	-187	1.55e+03
0.97	0.0291	-218	1.55e+03
