# Cäsium	Cobalt	Europium
736	494	805
788	500	838
756	574	820
744	524	822
735	504	845
761	460	843
803	507	870
728	536	836
737	525	854
740	511	870
803	446	811
751	522	795
781	502	828
707	480	810
776	489	798
733	461	803
728	500	822
740	496	793
722	475	809
723	445	792
753	522	806
748	512	782
723	499	760
718	517	790
690	464	785
748	535	735
701	458	796
710	491	751
697	482	726
726	463	758
707	528	738
699	473	729
732	527	715
675	470	738
735	480	774
710	462	751
745	463	704
696	501	703
695	468	726
746	459	738
728	490	759
734	488	763
696	477	719
692	478	769
701	467	744
672	465	793
722	468	789
730	490	787
710	465	758
721	462	793
696	464	706
716	441	770
672	465	678
670	434	705
717	494	727
691	430	698
713	417	709
680	446	682
692	460	704
675	482	703
689	503	713
708	473	670
707	452	707
671	492	699
642	483	665
692	491	626
646	440	661
673	450	643
666	434	668
706	439	669
695	424	685
692	418	696
668	477	683
671	444	594
662	412	648
680	478	676
681	471	662
683	501	670
715	463	658
708	475	694
655	483	665
635	420	645
731	426	693
710	441	693
661	460	630
648	433	658
656	488	620
639	441	619
670	435	661
646	436	629
665	448	651
684	444	639
693	441	657
642	442	670
661	452	640
689	441	585
667	454	698
651	454	669
639	451	645
675	465	650
699	414	609
627	439	680
646	445	653
679	442	624
655	430	627
629	417	623
662	444	651
613	450	639
675	434	658
686	438	635
684	448	650
668	418	660
626	442	593
613	438	624
690	427	636
704	477	653
675	446	626
656	475	634
702	415	634
653	387	662
631	454	649
640	429	625
664	447	619
629	454	645
654	429	615
663	415	650
647	438	641
675	424	622
617	402	644
633	466	617
658	386	617
704	446	629
631	425	617
657	410	646
660	419	594
635	409	587
634	439	632
642	394	624
652	432	558
624	442	652
611	435	622
633	424	599
665	436	633
660	435	616
612	432	639
666	423	630
693	441	652
667	412	612
619	407	661
686	418	587
682	414	652
631	449	612
636	412	651
603	471	579
598	442	646
619	411	602
661	392	606
674	435	644
636	422	644
633	453	669
615	418	642
632	427	612
645	479	678
604	437	651
645	406	667
658	422	615
629	484	669
689	426	626
636	411	678
618	417	629
664	442	681
600	390	654
629	425	663
630	425	628
684	414	707
632	428	651
639	439	657
672	422	661
639	443	673
648	433	654
666	447	659
611	425	729
683	421	670
655	435	692
683	444	712
660	452	699
673	417	741
641	422	766
726	459	775
727	450	849
757	423	824
705	465	914
721	441	870
730	456	853
699	464	861
736	445	796
655	470	810
693	440	768
773	484	841
732	461	904
747	488	999
741	437	1032
762	470	994
828	468	1047
778	472	1037
718	460	933
724	470	864
691	443	813
658	444	696
729	416	692
621	436	687
640	427	710
585	416	638
633	403	642
628	416	671
635	405	674
661	422	704
614	437	665
603	406	641
629	425	654
634	404	699
666	396	661
636	422	727
672	421	658
586	417	672
627	419	656
636	436	690
659	417	671
612	405	701
651	413	675
566	420	646
655	405	699
657	396	699
608	420	690
659	399	718
645	399	704
641	431	719
639	402	743
623	403	797
654	414	721
597	393	778
638	436	769
642	426	770
634	375	837
659	393	774
672	387	805
620	399	792
678	395	840
750	434	944
660	457	909
707	424	905
657	457	943
727	455	954
760	466	1014
722	452	1032
738	389	1018
821	415	994
730	437	944
674	437	892
651	413	911
698	438	849
610	371	828
665	386	813
669	405	785
623	423	852
723	429	825
641	395	871
643	414	899
624	458	867
605	395	907
639	453	948
635	412	863
593	431	854
636	451	833
651	412	794
641	444	805
649	411	818
608	407	755
557	384	862
659	389	796
631	425	795
614	394	793
592	397	830
610	386	820
660	411	832
628	408	836
603	399	857
643	426	818
629	421	862
604	400	906
633	410	870
575	399	877
597	410	879
633	395	927
629	407	884
622	417	845
607	393	825
612	371	876
614	431	845
628	378	854
643	392	904
594	420	969
595	426	889
653	404	878
578	414	903
608	401	879
649	403	893
